"","Nombre","Link"
"50","Instituto Conmemorativo Gorgas de Estudios de la Salud","http://www.gorgas.gob.pa/"
"51","Instituto de Acueductos y Alcantarillados Nacionales","http://www.idaan.gob.pa/"
"52","Instituto de Investigación Agropecuario","http://www.idiap.gob.pa/"
"53","Instituto de Mercadeo Agropecuario","http://www.ima.gob.pa/"
"54","Instituto de Seguro Agropecuario","http://www.isa.gob.pa/"
"55","Instituto Nacional de Cultura","http://www.inac.gob.pa/"
"56","Instituto Nacional de Formación Profesional y Capacitación para el Desarrollo Humano","http://www.inadeh.edu.pa/"
"57","Instituto Nacional de La Mujer",""
"58","Instituto Panameño Autónomo Cooperativo","http://www.ipacoop.gob.pa"
"59","Instituto Panameño de Deportes","http://www.pandeportes.gob.pa/"
"60","Instituto Panameño de Habilitación Especial","http://www.iphe.gob.pa/"
"61","Instituto para la Formación y Aprovechamiento de los Recursos Humanos","http://www.ifarhu.gob.pa/"
"62","Junta Técnica de Ingeniería y Arquitectura","http://www.jtiapanama.org.pa/"
"63","Lotería Nacional de Beneficencia","http://www.lnb.gob.pa"
"64","Ministerio de Ambiente","http://www.miambiente.gob.pa/"
"65","Ministerio de Comercio e Industrias","http://www.mici.gob.pa/"
"66","Ministerio de Desarrollo Agropecuario","http://www.mida.gob.pa/"
"67","Ministerio de Desarrollo Social","http://www.mides.gob.pa/"
"68","Ministerio de Economía y Finanzas","http://www.mef.gob.pa/"
"69","Ministerio de Educación","http://www.meduca.gob.pa/"
"70","Ministerio de Gobierno","http://www.mingob.gob.pa/mingob/"
"71","Ministerio de la Presidencia","http://www.presidencia.gob.pa/"
"72","Ministerio de Obras Públicas","http://www.mop.gob.pa/"
"73","Ministerio de Relaciones Exteriores","http://www.mire.gob.pa/"
"74","Ministerio de Salud","http://www.minsa.gob.pa/"
"75","Ministerio de Seguridad Pública","http://www.minseg.gob.pa/"
"76","Ministerio de Trabajo y Desarrollo Laboral","http://www.mitradel.gob.pa/"
"77","Ministerio de Vivienda y Ordenamiento Territorial","http://www.mivi.gob.pa/"
"78","Ministerio Público","http://www.ministeriopublico.gob.pa"
"79","Municipio de Aguadulce","http://aguadulce.municipios.gob.pa/"
"80","Municipio de Alanje","http://alanje.municipios.gob.pa/"
"81","Municipio de Antón","http://anton.municipios.gob.pa/"
"82","Municipio de Arraiján","http://arraijan.municipios.gob.pa/"
"83","Municipio de Atalaya","http://atalaya.municipios.gob.pa/"
"84","Municipio de Barú","http://baru.municipios.gob.pa/"
"85","Municipio de Besikó","http://besiko.municipios.gob.pa/"
"86","Municipio de Bocas del Toro","http://bocas.municipios.gob.pa/"
"87","Municipio de Boquerón","http://boqueron.municipios.gob.pa/"
"88","Municipio de Boquete","http://boquete.municipios.gob.pa/"
"89","Municipio de Bugaba","http://bugaba.municipios.gob.pa/"
"90","Municipio de Capira","http://capira.municipios.gob.pa/"
"91","Municipio de Chame","http://chame.municipios.gob.pa/"
"92","Municipio de Changuinola","http://changuinola.municipios.gob.pa/"
"93","Municipio de Chepo","http://chepo.municipios.gob.pa/"
"94","Municipio de Chitré","http://chitre.municipios.gob.pa/"
"95","Municipio de Colón","http://municipiocolon.gob.pa/"
"96","Municipio de Dolega","http://dolega.municipios.gob.pa/"
"97","Municipio de Gualaca","http://gualaca.municipios.gob.pa/"
"98","Municipio de La Chorrera","http://lachorrera.municipios.gob.pa/"
"99","Municipio de La Mesa","http://lamesa.municipios.gob.pa/"
"100","Municipio de La Pintada","http://lapintada.municipios.gob.pa/"
"101","Municipio de Las Minas","http://lasminas.municipios.gob.pa/"
"102","Municipio de Las Palmas","http://laspalmas.municipios.gob.pa/"
"103","Municipio de Las Tablas","http://lastablas.municipios.gob.pa/"
"104","Municipio de Los Santos","http://lossantos.municipios.gob.pa/"
"105","Municipio de Macaracas","http://macaracas.municipios.gob.pa/"
"106","Municipio de Mariato","http://mariato.municipios.gob.pa/"
"107","Municipio de Mironó","http://mirono.municipios.gob.pa/"
"108","Municipio de Montijo","http://montijo.municipios.gob.pa/"
"109","Municipio de Müna","http://muna.municipios.gob.pa/"
"110","Municipio de Natá","http://nata.municipios.gob.pa/"
"111","Municipio de Nole Duima","http://noleduima.municipios.gob.pa/"
"112","Municipio de Ocú","http://ocu.municipios.gob.pa/"
"113","Municipio de Pacora",""
"114","Municipio de Panamá","http://www.municipio.gob.pa/"
"115","Municipio de Parita","http://parita.municipios.gob.pa/"
"116","Municipio de Pedasí","http://pedasi.municipios.gob.pa/"
"117","Municipio de Penonomé","http://penonome.municipios.gob.pa/"
"118","Municipio de Pesé","http://pese.municipios.gob.pa/"
"119","Municipio de Portobelo","http://portobelo.municipios.gob.pa/"
"120","Municipio de Remedios","http://remedios.municipios.gob.pa/"
"121","Municipio de Renacimiento","http://renacimiento.municipios.gob.pa/"
"122","Municipio de Río de Jesús","http://riodejesus.municipios.gob.pa/"
"123","Municipio de San Carlos","http://sancarlos.municipios.gob.pa/"
"124","Municipio de San Félix","http://sanfelix.municipios.gob.pa/"
"125","Municipio de San Lorenzo","http://sanlorenzo.municipios.gob.pa/"
"126","Municipio de San Miguelito","http://alcaldiadesanmiguelito.org/"
"127","Municipio de Santa María","http://santamaria.municipios.gob.pa/"
"128","Municipio de Santiago","http://santiago.municipios.gob.pa/"
"129","Municipio de Soná","http://sona.municipios.gob.pa/"
"130","Municipio de Taboga","http://taboga.municipios.gob.pa/"
"131","Municipio de Tolé","http://tole.municipios.gob.pa/"
"132","Municipio de Tonosí","http://tonosi.municipios.gob.pa/"
"133","Oficina Nacional para la Atención de los Refugiados",""
"134","Organo Judicial","http://www.organojudicial.gob.pa/"
"135","Policía Nacional de Panamá","http://www.policia.gob.pa"
"136","Procuraduría de la Administración","http://www.procuraduria-admon.gob.pa/"
"137","Procuraduría General de la Nación","http://www.ministeriopublico.gob.pa"
"138","Programa Nacional para el Desarrollo Local","http://www.pronadel.gob.pa"
"139","Registro Público de Panamá","http://www.registro-publico.gob.pa"
"140","Secretaría de Cadena de Frío","http://www.cadenadefrio.gob.pa/"
"141","Secretaría Nacional de Ciencia, Tecnología e Innovación","http://www.senacyt.gob.pa/"
"142","Secretaría Nacional de Discapacidad","http://www.senadis.gob.pa"
"143","Secretaría Nacional de Energía","http://www.energia.gob.pa/"
"144","Secretaría Nacional de Niñez, Adolescencia y Familia","http://www.senniaf.gob.pa/"
"145","Secretaría Nacional para el Plan de Seguridad Alimentario y Nutricional","http://www.senapan.gob.pa"
"146","Servicio Aéreo Nacional","http://www.sanp.gob.pa/"
"147","Servicio Marítimo Nacional","http://www.smn.gob.pa/"
"148","Servicio Nacional Aeronaval","http://www.aeronaval.gob.pa/"
"149","Servicio Nacional de Frontera","http://www.senafront.gob.pa/"
"150","Servicio Nacional de Migración","http://www.migracion.gob.pa"
"151","Sistema de Ahorro y Capitalización de Pensiones de los Servidores Públicos","http://www.siacap.gob.pa/"
"152","Sistema Estatal de Radio y Televisión","http://www.sertv.gob.pa/"
"153","Sistema Nacional de Protección Civil","http://www.sinaproc.gob.pa/"
"154","Sistema Penitenciario","http://www.sistemapenitenciario.gob.pa/"
"155","Sistema Único de Manejo de Emergencias","http://www.sume911.pa/"
"156","Superintendencia de Bancos","http://www.superbancos.gob.pa/"
"157","Superintendencia de Seguros y Reaseguros de Panamá","http://www.superseguros.gob.pa"
"158","Tribunal Electoral","http://www.tribunal-electoral.gob.pa"
"159","Universidad de Panamá","http://www.up.ac.pa"
"160","Universidad Especializada de las Américas","http://www.udelas.ac.pa/"
"161","Universidad Marítima Internacional de Panamá","http://www.umip.ac.pa"
"162","Universidad Tecnológica de Panamá","http://www.utp.ac.pa"
"163","Zona Libre de Colón","http://www.zolicol.gob.pa/"
